task,завдання,с
foreigner,іноземка,ж
museum,музей,ч
tablet,планшет,ч
sentence,речення,с
musician,музикант,ч
dorm,гуртожиток,ч
small cake,тістечко,с
carrot,морква,ж
bun,булочка,ж
pepper,перець,ч
tomato,помідор,ч
cucumber,огірок,ч
onion,цибуля,ж
river,річка,ж
mountain,гора,ж
tree,дерево,с
flower,квітка,ж
star,зірка,ж
waterfall,водоспад,ч
thought,думка,ж
path,шлях,ч
freedom,свобода,ж
light,світло,с
forest,ліс,ч
delivery,доставка,ж
butterfly,метелик,ч
wind,вітер,ч
ocean,океан,ч
voice,голос,ч
peace,мир,ч
autumn,осінь,ж
art,мистецтво,ч
fate,доля,ж
friendship,Дружба,ж
dream,мрія,ж
language,мова,ж
culture,культура,ж
communication,спілкування,ж
meeting,зустріч,ж
party,вечірка,ж
university,університет,ч
society,суспільство,с
occupation,заняття,с
problem,проблема,ж
nature,природа,ж
science,наука,ж
memory,пам'ять,ж
health,здоров'я,c
solution,рішення,с
hobby,хобі,с
study,навчання,с
live,життя,c
shadow,тінь,ж
love,любов,ж
goal,мета,ж
song,пісня,ж
night,ніч,ж
silence,тиша,ж
joy,радість,ж
anger,злість,ж
illness,хвороба,ж
tear,сльоза,ж
faith,віра,ж
thunderstorm,гроза,ж
bone,кістка,ж
story,повість,ж
oven,піч,ж
pride,гордість,ж
blood,кров,ж
thing,річ,ж
honor,честь,ж
flood,повінь,ж
ointment,мазь,ж
target,ціль,ж
